Indonesia,Simalungun
kecil,"enel, eneng, etek, etel, eteng, punak, tangkidik"
kecil hati,hutuk
"kecil hati; marhutuk	v		berkecil	hati",hutuk
kecil tapi tampan,lenter
kecil-kecil,muhut
kecoa,ipos
kecoa; coro,ipos
kecuali,"sobali, subali"
kedai,"hodei, kodei"
kedamaian,"hadameion, hadameion "
kedatangan,parrohni
kedegilan,pahengkengon
kedinginan,borgohan
kedip,hirdop
kedua belah,rombang
kedua belah pihak,rombang
keemasan,haomasan 
kegelapan,hagolapon 
kegembiraan,"hamegahon, hamegahon "
kegemparan,pagomparkon
kehati,hapangkeian
kehilangan,"agoan, hagou"
kehilangan; teringat pada seseorang pada keadaan yang telah lampau,hagou
kehormatan,hasangapon 
kehujanan,"haudanan, haudanan "
keinginan,"hangalan, sura"
keinginan hati,munjar
keinginan tidak sampai,"alokon, alug"
keinginan yang tidak tecapai,hangalan
kejadian,masa
kejahatan,"hajungkatan 
"
kejang urat,paninggoyongon
kejap,hidop
kejar,"ayak, dakdak, tulus"
kejut,"dosak, hirjat, songgot"
kejutan,songgot
kekasih,hasian
kekayaan,habayakon 
kekecilan,haetekon 
kekenyangan,egab
kekeringan,hahorahan 
kekuatan,hagogohan
kekurangan,hurangan 
kelabang,sisibang
kelabu,hulabu
keladi,"birah, hae, haladi"
keladi hutan,antorkis
keladi; talas,haladi
kelahi,tinggil
kelahiran,hatubuhan 
kelakar,"gereh, huria"
kelakuan,gabei
kelamaan,"hausangon, madokahton 
"
kelambu,"hulambu, masabun"
kelamin wanita,gendeng
kelapa,halambir
keledai,halode
kelelahan,"halojaan, halojaan , holteon"
kelelawar,"arip, boluk, haluang, lingkaboh"
kelelawar (yang besar),haluang
kelemah,halamlamon
kelewang,gadubang
kelihatan,"haidahan, haidahan , hatonggoron, hatonggoron "
keliling,"liot, liut"
keling,koling
kelonggaran,halumbangan 
keluar,"kaluar, mandarat, mandarat , pardarat, turak"
keluar (tentang keringat),turak
keluar air mata,tariluh 
keluar kembali,mungkal
keluarga dekat,sindohor
keluarkan,rungrung
keluh kesah,holsoh
kelupas,albak
keluyuran,aor
kemaluan,"diladila, hailaon, posong"
kemaluan laki,natu
kemaluan laki-laki,natu
kemaluan perempuan,tete
kemaluan wanita,diladila
kemana,huja
kemangi,humange
kemanjuran,hapusuhan
kemarahan,buragason
kemarau,logo
kemarin,nantuari
kemasukan,rasuk
kemasukan (jin),rasuk
kemasyhuran,hasaron 
kematian,"hamateian 
"
kembalikan,pasuang
kembang,"hepar, hombang"
kembar,lindut
kembar; sama rupanya,lindut
kembung,gonjong
kemenangan,"hamonangan, hamonangan "
kemenyan,"dahupa, hamonan"
kemerahan,hagergeron 
kemiri,gambiri
kemiskinan,"hapogoson, hapogoson 
, hasombuhon, hasombuhon "
kempis,helpus
kena,"hona, turikon"
kena  sedikit; tersentuh; tersinggung,eos
kena batu,tarbatu 
kena bopeng,turikon 
kena hukum,mogar
kena pagar hondot,tarhondor 
kena tarik,targeret 
kenabian,hanabion
kenang,radang
kenang- kenangan,manoh
kenapa,mahua
kenapa; bagaimana keadaan,mahua
kencang,gabur
kencing,"nonok, oyok, sahor, taga"
kencur,hasowor
kendur,"hondur, honjor"
kening,dumut
kental,"hoduh, hotkot, melhat"
kentang,hantang
kentongan,tandang
kentut,"busbusan, muntut, untut"
kentut (buang angin),muntut
kenyang,bosur
kenyang betul,gojong
keong,keong
kepada,hubani
kepahitan,hapaetan 
kepal,"hopol, pohul"
kepal; genggam,pohul
kepala,"jarunjung, pangulu, ulu"
kepala (ragam halus),jarunjung
kepalan,pohul
kepanasan,"hamilasan , hodogan, hodogan , mohop"
kepanasan; kegerahan,mohop
kepandaian,hapandeian 
kepenuhan,hagokon 
kepercayaan,haporsayaan
kepiting,ganjou
kepompong,utut
kepunyaan,"ajang, alikan, artikan, atikan"
kepunyaanku,gio
keputusan yang,unggul
keputusan yang diambil orang tua ketika anak perempuannya akan menikah,unggul
kera,hereh
kerabat laki,tondong
kerabat laki- laki dari pihak ibu,tondong
kerabu,hurabu
kerah,harah
kerahkan,"harahkon 
"
kerajaan,harajaon
kerajinan,"hapongkutan, hapongkutan "
kerak,kuskus
kerak (nasi),kuskus
keramahan,habasaran 
kerang,horang
keranjang,haranjang
keranjang panjang yang hanya dapat diangkat dan dipikul di pundak,jangkat
keranjang rotan,hudei
keranjang rotan yang bentuknya bulat dan pakai tutup,hudei
keranjang tempat,raga
keranjang tempat ayam bertelur,raga
kerap,sakah
keras,"gingging, jeger, jogal, jogar, mapir, morsik, pihir, pir, rangit, tenger"
keras,jogal
keras kepala,"tajal, tendel"
keras; kuat,jeger
kerat,"horat, horot"
kerbau,horbou
kerdil,"rorang, rosa"
keresahan,hamengason 
kereta angkung (yang ditarik oleh manusia),hongkong
kering,"hiang, horah, horing"
kering sekali,horjal
keringat,hadogas
keringat; peluh,hadogas
keringkan,"aroh, pahorah "
keris,horis
keriting,halingking
kerja,"hobas, horja, marharoan"
kerja bakti,marharoan
kerja paksa,rodi
kerjakan,horjahon
kerjapaksa,rodi
kero,juling
kerongko,tolonan
kerongko- ngan,tolonan
keroyok,karoyok
keroyok kasang [kasaG] n kacang kasar [kasar] a kasar,karoyok
kertas,"harotas, hortas"
keruh,"gombur, lintok, lotok"
kerumun,"hirap, lutung, porgam, rongom"
"kerumun; marhirap		v	berkerumun karena diberi makanan (tentang binatang)",hirap
keruntung,taduhan
kerutan,luk
kesal,ilei
kesalahan,"halepakon, halepakon "
kesana,"hujadui, hujan"
kesanggupan,hua
kesatuan,hasadaon 
kesayangan,"haholongan 
"
kesehatan,hatorkisan
kesempatan,"hasompatan, hasompatan "
kesempitan,sompitan 
kesengsaraan,hamarsikon
kesialan,hasialan
kesitu,hujin
kesopanan,hasupanan 
kesukaan,harosuh
kesulitan,hapayahan 
kesunyian,lungunan 
kesusahan,"hagalutan, hagalutan , hasunsahan"
ketagihan,katagih 
ketahuan,tarbotoh 
ketajaman,hamarotan 
ketam,hotam
ketam; alat serut untuk melicinkan kayu,hotam
ketat,hopos
keterusan,hanunuton 
ketiak,"kihik, taheak"
ketika,"antaran, labang, sanggat"
ketua,pangituai
ketua adat,pangituai
ketulangan,ongkakkon 
ketupat,katupat
keturunan,"rindang, tinjak"
khianat,tahi
khotbah,ambilan
kibas,"awas, sabsab, sarsar"
kibaskan,hisab
kijang,"balding, balua, bolkih"
kikir,"dogil, dohir, holit, kihir"
kikis,"gougou, habus"
kikis (alat yang dibuat dari bambu),gougou
kilat,"dejeb, hilap, inal, linou"
kilat; berkilat; mengkilap; bercahaya,linou
kilau,jirlak
kilau-kemilau;berkilap,jirlak
kipas,"hipas, sompul"
kipas anglo,sampul
kira,"agak, hira, kira"
kira-kira,"agak, kira"
kiri,"siambilou, sikaos, singkaes"
kiri,singkaes
kirim,"hirim, tongos"
kiriman,tinongos
kisi,jaring
kita,hita
kocok,"hiat, segu"
kocok (tentang kartu),segu
kodok,sarigupgupan
kokoh,jonggur
kol,kol
kolak,kolak
kolang,haltu
kolang-kaling,haltu
kolong,tongkarang
kolong rumah,tongkarang
kolor,kolor
konde,sanggul
konsep,honrap
konsep; ,honrap
kopi,kahawa
korek,golat
korek api,"loting, solok"
kosong,"lumei, lungam, olat"
kosong  tidak berisi,lumei
kota Mekah,mokah
kotek,"gegek, hotek"
kotek; ,gegek
kotor,"butak, dursat, kotor"
kotor (diucapkan kepada orang yang mukanya kotor),hopam
kotor: dorsa tangoran dakdanak ai anak itu kotor sekali,dorsa
kotoran,butak
kotoran gigi,sondahi
koyak,ruak
koyak lebar,solar
Kr balai,jambur
Kr tumbuh,turah
kuasa,kuasa
kuat,"botang, gogoh, gomos, huat, jengkeng"
kuat bekerja,tuakal
kuat dan bising,dongas
kuat hati,nadom
kuat makan,laga
kuat suaranya,maling
kuatkan hati,hirpas
kuatkan hati; tekat,hirpas
kubur,hubur
kuburkan,"huburhon, huburhon "
kucing,"hunang, huting"
kucing jantan,turan
kuda,"huda, tandur"
kuda-kuda,tandur
kudapan,tambul
kudis,"baro, kudis, rutu"
kudisa,kudison 
kudisan,rutuon
kudisan barsang,baroon 
kue kepang,gepang
kuku,"silon, sisilon"
kuku (binatang),tambirik
kukuran,"kuhuran, kuhuran "
kulakasar,barna
kulit,"huling, hulit, sibur"
kulit binatang,bobak
kulit gatal,deledele
kulit kambing,ampangampangan
kulit kayu,laklak
kuman,simu
kumbang,borong
kumbang yang suka di kotoran,meong
kumbuh,ibus
kumis,"gumis, mise"
kumpul,"himpang, lou, pulung, rugun"
kumpulan bunga,rudang
kunang,salipotpot
kunang kunang,salipotpot
kunci,oruk
kuning,"gorsing, huning, sigorsing"
kunyah,hursap
kupang,hupang
kupas,"amis, hubak"
kupas (dengan tipis),amis
kupas; ,hubak
kura,antipa
kurang,"angkar, antil, hurang, tangkir, telpak, urak"
kurang (tidak cukup),antil
kurang meng- indahkan,leas
kurang mengindah,layas
kurang mengindah- kan,layas
kurang mengindahkan,leas
kurang sopan,lantas
kurang tepat,sampir
kurang tidur: angkar ma au nabodari aku kurang tidur semalam,angkar
kurangmasak,angkar
kurap,"hurap, kurap"
kurapan,kurapon 
kursuk,hursak
kurung,hurung
kurungan,hurungan 
kurus,"erung, hurus, merung, tehor"
kurus kering,hortang
kusam,husom
kusir,sais
kusta,gadam
kusut,"hatuyut, litur, osal, rundut"
kusut (rambut tidak disisir),hatuyut
kutang,kutang
kutil,buku
kutip,"hutip, iduk"
kutip; kutipan; ,iduk
kutipi,hutipi
kutu,"hutu, tusa"
kutu ayam,tungou
kutu busuk,"botu, tangah"
kutu yang,gomit
kutu yang baru menetas,gomit
kutuk,"bura, papa, sapata"
laba,lawah
labu,"gundur, hondi"
laci meja,lansi
"lada, merica",lada
ladam,ladam
ladang,"juma, ladang"
laga,sabung
lagi,"nari, ope, openi, pedo, usei"
lagu,"doding, edeng, inggou, lagu"
lagu yang dinyanyikan wanita waktu terang bulan,ilah
lagu yang hanya dinyanyikan oleh wanita se- waktu terang bulan,ilah
lagu; iraman,inggou
lah,"do, lah"
lah;  saja,lah
lahap,malaga
lahir,"hana, tubuh"
lain,"daul, laig, lain, panjil, paol"
lain: pandir dahassa  pangulahni lain saja perbuatannya,pandir
lain; tersisih; asing,laig
laki,dalahi
lakukan,jampang
lalai,"lansei, lansu, lengah, lolei, lolos, palei"
lalai; kurang hati- hati,lansei
lalai;lamban,palei
lalat,lanog
lama,"dokah, laon, usang"
lama menanti,porngi
lama sekali,"leler, longgou"
lamban,"datei, patei"
lambat,"asak, asok, bandat, gaga, lambat, nanggei"
lambat mengerjakan,lalei
lambat mengerjakan sesuatu,lalei
lambat; pelan,lambat
lampu,"lampu, suluh"
lampuyang; sejenis kunyit,lampuyang
lancar berbicara,heper
lancar berbicara; fasih,heper
lancip; tirus; meruncing,lipur
landai,"sarande, sayag"
landak,landak
landasan,"bopbopan, nangar"
landasan dari kayu,bopbopan
langit,"kalah, langit"
langkah,"jangkah, langkah, layang"
langkah; ,langkah
langkahi,layangi 
langlang buana,hajap
langsat,"jontikon, langsat"
lantai,"dasor, lantei"
lantai dekat,dadadur
lantai dekat dapur (terdapat pada rumah bertangga),dadadur
lantam,"dulmit, jabir"
lapang,"lambas, lapang, luap"
lapang; jalan yang selalu dilalui binatang atau manusia,lapang
lapang; luas,lambas
lapar,"gajur, gayur, hodar, ipus, lapar, lohei, tuktodung"
lapis,"dapardapar, lampis, lapis"
lapis kulit,lambak
"lapis, lapisan",dapardapar
lapis; pem- bungkus,lampis
lapuk,"dotei, lapuk"
larang,"bahang, larang, pandang, panjar, sarang"
larat,lalir
lari,"arjang, goros, gubug, lintun, pojong, pondir, porus"
lari kencang,anjis
lari sekampung,buhar
lari sekampung dikejar musuh,buhar
larikan,"bojing, iluahon , luahon , melarikan diri  
luahon "
lasak,hutiltal
latah,"heter, huletor"
lauk pauk dari,gulei
lauk pauk dari daging,gulei
laut,laut
lawan,"alo, imbang, lawan, taban"
lawan; saingan; ; ,imbang
layak,dayong
layan,idang
layar,"layar, tirei"
layar atau,halingkip
layar atau tutup lobang yang sering dihias dengan ornamin (gorga),halingkip
layu,"hangar, hoyu, hurleh, los, moyuk"
lebah,"bonbon, daldal, lobah"
lebah kecil,ranggiting
lebah kecil penghasil madu,ranggiting
lebah; naning,daldal
lebar,hembang
lebat,"humala, mapor, rabut, radig, rambing, ramos"
lebat (buah),harunrun
"lebat;  lebat, subur, dan merata",humala
lebih,"iba, inggan, lobih, melhatan, pinsuran, pintoran, rangkahan, rengesan, siakan, sulur, ummurah, undaoh, unjorgit"
lebih baik,rahanan
lebih dahulu,mula
lebih dulu,parlobei 
lebih kasih,maidop 
lebih kurus,merungan 
lebih sesat,hakahouan
lebih; amat,inggan
lebih; terlebih,iba
lebur,lobur
leher; ;  diri,borgok
lekang,lungkang
lekas,"jais, olos"
lekas-lekas; terburu- buru,jais
lekat,"rapit, rati"
lekuk,lehuk
lelah,"loja, sadih"
lelah dan lapar,holte
lelah; letih; penat,loja
lelaki,lalahi
lelaki,lalahi
lemah,"dordor, galek, modei, uguh"
lemah kurus,moyut
lemah lembut,"lajoh, layoh"
lemak,"laboh, lamok"
lemak kemiri,mangida
lemak; zat minyak yang melekat pd daging; gemuk,lamok
lemang,"lilis, lomang, tibis"
lemari,lamari
lemas,"gale, lepe, malpas, monggak"
lemas: hayuni ai galek songon pasukni dahu kayu ini lemas seperti pucuk pakis,galek
lembab,"holnoh, malbas"
lembab; tidak kering benar; agak basah,malbas
lembah,suah
lembar,lambar
lembek,"dayuk, doluh, gayak, loju"
lembing,"buringan, palait"
lembu,lombu
lembu jantan,jonggi
lembut,"lamlam, monis"
lembut: alus do tilam ai tilam itu  lembut,alus
lembut; lemah lembut; sejuk,lamlam
lempar,"bontir, danggur, deber, deter, gijig, ompong, pastap"
lemparan,"dangguran, gijigan "
lemparkan,"deberhon 
, deterhon 
"
lender,geder
lendir,"godir, lender"
lendir; ,lender
lengan,batokan
lenggang,eal
lenggok tari,ondok
lengket,"palit, rohat"
lengkuas,"halawas, laja"
lengkung,"holbab, pegol, pegut"
lentera,tallung
lenting,londut
lentur,damir
lepas,"halus, harhar, luah, maluah, poyut, tanggal"
lepas dari,bansah
lepas dari bahaya,bansah
lepas; urai,harhar
lepaskan,guashon
lepat,"lampet, lopat"
lereng,"arban, rabojon, reben, sapsap, takengan"
lesung,losung
lesung yang,turahan
lesung yang dipelihara di rumah bolon,turahan
letak,"hurtek, ianan, tampei"
letak; ,hurtek
letak; tempat,ianan
letih,"aldak, latih, lotih"
letih ; capek,rongkih
letih; ,aldak
lewat,"anjur, leot, lopus, pontas, salud"
lewat (tentang waktu),salud
lewat; melintas,lopus
lezat,mantin
lezat; sedap,mantin
liar,liar
libas,basbas
libur,porei
licin,"gayok, lampot, lemes, lenes, lising, molor"
licin;,lemes
licin; tidak kasar; halus,lampot
lidah,"dila, dilah"
lidi,purih
lidi ijuk,tarugui
lihat,"idah, ipa, kawah, lior, marsiidahan , nonoi, porih, tingkir, tonggor"
lihat; ; mengamat-amati,kawah
liku,gelok
liku-liku,gelok
lilin,"lilin, pantis"
lilit,alit
lilit; gulung,alit
lima,lima
limas,limas
limau,puraga
limpa,limpa
limpah,soran
lincah,sus
lindas,"dogos, gisil"
lindung,"gomgom, onding"
lindungan,"gomgoman, gomgoman "
lintah,lintah
lintah kecil,ombob
lintas,bulus
lipan,"ansisibang, lipan"
lipat,"liplip, lompit, lulun"
lisut,piuk
liut,beoh
liut (tentang pisau),beoh
loba,rahang
lobak,lobak
lolongaanjing,morong
lompat,lumpat
lompat; loncat; ,lumpat
loncat,tenjalak
lonceng,giring
longgar,"lumbang, lunggar, lurlar"
longgar;lapang,lumbang
longsor,hasonor
lonjong,pinsur
lontar,lontar
lontong,lontong
loyo,muyup
luar,"darat, luar"
luas,"bolag, lablab, lantang, lendes, talpang"
luas kelihatan,landap
luas;  sama luas,bolag
luas; lebar,lablab
lubang,"lobong, lubang, robung, ruang, tuhak"
lubang besar,bungbung
lubang kayu,paduk
lubang kayu yang menjadi sarang burung,dauk
lubang tiang,humei
lubang tiang di sudut agar kelihatan bagus,humei
lubang: dong do liang i dalan ada lubang di jalan,liang
lubuk,unong
ludah,"tijur, tujur"
luka,"luha, ugah"
luka kena goresan,banus
luka kena goresan baoh [baOh] n bambu muda yang dibelah tipis untuk membuat,banus
luka parah,"balhap, bilgang"
luka yang hampir sembuh,bobar
luka yang hampir sembuh tersentuh lagi,bobar
lukis,lukis
luluh,danur
luluk,ramuk
luluk (mata pada batang enau),ramuk
lulur,pongkir
lulur (mudah menelan),pongkir
lumat,"donos, gapu, gopu"
lumbung,"baradang, hobang, hobon, hobong, tuangan"
lumbung padi,"hobang, tuangan"
lumpuh,"arepat, yangon"
lumpur,"dayat, hubang, lugut"
lumpur; becek,dayat
lumut,"limut, umut"
lunak,"gabur, momo"
lunas,bali
luntang,hanggou
luntang- lantung,hanggou
luntur,"luntur, modung, mutah"
"luntur; berubah atau	kehilangan	warnannya",mutah
lupa,"lolos, lupa"
lurus,"gostang, gostong, listor, pitor, sayur"
luruskan,"pagostong, pagostong  "
lurut,hois
lusa,haduan
lutung,kulihap
lutut,"baluju, tohod, towod"
mabuk,mabuk
macam,"bagei, hurawang, pahara"
"macam- macam anyaman; - macam	anyaman",hurawang
mahal,"dosuh, mahol"
mahir,"paja, tomat"
main,"guro, maen, margalah, marguro"
mainan,pene
mainan anak,ina
mainan anak-anak,gonta
main-main,marguro
majal,"bandul, bondul, honol"
majal (tumpul),"bandul, bondul"
maju,maju
makam,jerat
makam; kuburan,jerat
makan,"bonjang, bosbos, bosuri, gabgab, japjap, mangan, nekam, pangan, tubir"
makan (cara makan binatang babi dan anjing),japjap
makan beras,"ardom, dum, mardum"
makan dengan,orgos
makan dengan rakus,orgos
makan lalapan,mangatah 
makan nasi,mamah
makan nasi (kata untuk anak-anak),mamah
makan sampai kenyang,bosuri  
makan sayur,marleo 
makanan,panganon 
makanan bergizi,lanang
makanan khas Simalungun yang terbuat dari tepung beras dengan gula merah,itak
makanan mentah,atah
makanan terbuat,labau
makanan terbuat dari ubi dicampur dengan daging dan bumbu lainnya,labau
makanan yang,tuhong
makanan yang menguatkan badan,tuhong
makani,pangani 
makin ke ujung,senger
makin ke ujung makin besar,senger
maksud,rantam
maksud bicara,niadok
malam,borngin
malas,jonog
malu,"bador, ela, ila, maela , maila, maila , mela"
mamak perempuan,anturang
mana,ja
mandagos,mandagos
mandagos inang indahan nabodari ibu memasak hidangan seharian,mandagos 
mandi,maridi
mandi bunga,tulbas
mandor,mandur
mandul,lapat
mandul; majir,lapat
mangga,mangga
mangga manggis [maGgis] n manggis manggoluh [maGgoluh] a hidup manggou [maGgOw] v hilang (yang,mangga
manggis,manggis
manis,"manis, matobu, melab"
manisan,"manisan, manisan "
manja,"inih, manja, minggol"
manjur,"bingking, pusuh"
mantera,tabas
manusia,"jolma, manisia"
manusia; insan,jolma
marah,"buragas, hanam, laga, marah, muruh, utap"
marak,"gojog, marak"
marak (untuk api); nyala,marak
marga yang,rambit
marga yang hampir sama,rambit
mari,"barah, hajop, hayop"
markisa,tepung
masa,indahan
masak,"dahan, gorgor, masak"
"masak, matang",masak
"masak; manggorgor		v		memasak",gorgor
masak; tanak,dahan
"masakan berkuah (seperti gulai, sup, dan sebagainya)",lowoh
masam,igar
masih,pe
masih dapat bernapas,hosah 
masih kecil,danak
masing,marsisuan 
masjid,masjid
"masjid, rumah atau bangunan tempat ibadah agama Islam",masjid
masuk,"bongkat, masuk, sondop, topong"
masuk (ke dalam lubang),sondop
masyhur,"sar, ujat"
mata,"londar, pamonggor, panaili, pondar"
mata air,sombul
mata angin,deisa
matahari,mataniari
matahari,mataniari
matahari,pangului
matahari sepenggalan,pangului
matahari tepat,sirdok
matahari tepat tegak lurus di atas kepala,sirdok
matang,"mabei, ranum, solpah"
matang; masak,mabei
mati,"anjal, hanjal, matei, mulih, pusa, sikou, sundut, tidos, tirdang"
mati (ungkapan kasar),anjal
mati suami,habaluan
matikan,pamatei 
mau,solo
mau menangis,bensut
mau muntah,mongkak
maunya; hendaknya,minei
mawas,mawas
"mawas, sejenis kera",mawas
mayang,rudang
mayang kuncup,taduk
mayang padi,buyur
meja,meja
melagu,maringgou
melagu ingon,maringgou 
melahirkan,"manubuhkon , tubuhan "
melahirkan yang tak cukup umur,lena
melakukan,marrodi
melakukan kerja paksa,marrodi 
melalui,"marhitei, marhitei "
melamakan tardokah a agak lama,padokahkon 
melambatkan,"panengethon, panengethon "
melampaui,laosi 
melangkah,"manlangkah, manlangkah "
melantai,"mandasori 
"
melapisi dengan emas,mangomasi 
melarang,"malarang , manarang, manarang "
melarat: ia ansonanso dia hidupnya melarat,ansoanso
melarikan,"malintunhon 
"
melawan,"malawan, malawan , mangalo, mangalo , mangimbang, mangimbang "
